number,street,city,latGold,lonGold,geoapi_id,request_id,lat,long,accuracy,public_place
101,RUA ENRIQUE AMORIM,SAO PAULO,-23.867041,-46.75333,Google,10194,-23.8683448,-46.7567086,,RUA ENRIQUE AMORIM
101,RUA ENRIQUE AMORIM,SAO PAULO,-23.867041,-46.75333,OpenRouteService,10194,-23.866982,-46.755118,0.8,RUA ENRIQUE AMORIM
101,RUA ENRIQUE AMORIM,SAO PAULO,-23.867041,-46.75333,TomTom,10194,-23.86794,-46.75615,14.1170272827,RUA ENRIQUE AMORIM
101,RUA ENRIQUE AMORIM,SAO PAULO,-23.867041,-46.75333,MapBox,10194,-23.8668952,-46.7534995,0.74,RUA ENRIQUE AMORIM
2,BENEDITO SCHUNCK,SAO PAULO,-23.880401,-46.741814,TomTom,10195,-23.88039,-46.74173,11.9079704285,BENEDITO SCHUNCK
2,BENEDITO SCHUNCK,SAO PAULO,-23.880401,-46.741814,Google,10195,-23.8805155,-46.7419086,,BENEDITO SCHUNCK
2,BENEDITO SCHUNCK,SAO PAULO,-23.880401,-46.741814,MapBox,10195,-23.88057,-46.741688,0.77847,BENEDITO SCHUNCK
2,BENEDITO SCHUNCK,SAO PAULO,-23.880401,-46.741814,OpenRouteService,10195,-23.570533,-46.663713,0.6,BENEDITO SCHUNCK
S/N,EST ENGENHEIRO MARCILAC,SAO PAULO,-23.875968,-46.738807,OpenRouteService,10196,-23.570533,-46.663713,0.6,EST ENGENHEIRO MARCILAC
S/N,EST ENGENHEIRO MARCILAC,SAO PAULO,-23.875968,-46.738807,MapBox,10196,-23.4784143,-46.6076177,0.65358,EST ENGENHEIRO MARCILAC
S/N,EST ENGENHEIRO MARCILAC,SAO PAULO,-23.875968,-46.738807,Google,10196,-23.8712085,-46.7379714,,EST ENGENHEIRO MARCILAC
S/N,EST ENGENHEIRO MARCILAC,SAO PAULO,-23.875968,-46.738807,TomTom,10196,-23.88735,-46.6894,14.4504766464,EST ENGENHEIRO MARCILAC
7,PASCOAL BELMONT,SAO PAULO,-23.908371,-46.707091,MapBox,10197,-23.908972,-46.706868,0.777932,PASCOAL BELMONT
7,PASCOAL BELMONT,SAO PAULO,-23.908371,-46.707091,OpenRouteService,10197,-23.519675,-46.610391,1.0,PASCOAL BELMONT
7,PASCOAL BELMONT,SAO PAULO,-23.908371,-46.707091,Google,10197,-23.9081286,-46.7070178,,PASCOAL BELMONT
7,PASCOAL BELMONT,SAO PAULO,-23.908371,-46.707091,TomTom,10197,-23.51862,-47.13197,10.7023448944,PASCOAL BELMONT
75,RUA FILOMENA BELMONT,SAO PAULO,-23.907963,-46.706575,MapBox,10198,-23.908146,-46.706876,0.795556,RUA FILOMENA BELMONT
