number,street,city,latGold,lonGold,id,geoapi_id,request_id,lat,long,accuracy,endereço,erro
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2917600,OpenRouteService,2917600,-23.570533,-46.663713,1.0,"SAO PAULO, JANE VANINE CAPOZI,         45, SP",33.07147345630077
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2917600,Google,2917600,-23.8708601,-46.6766266,,"SAO PAULO, JANE VANINE CAPOZI,         45, SP",0.32959549541628413
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2917600,Here,2917600,-23.87114,-46.67653,1.0,"SAO PAULO, JANE VANINE CAPOZI,         45, SP",0.35846093187597816
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2917600,MapBox,2917600,-23.870596,-46.676843,0.865661,"SAO PAULO, JANE VANINE CAPOZI,         45, SP",0.29351416909436084
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2917601,OpenRouteService,2917601,-23.570533,-46.663713,1.0,"SAO PAULO, DOS LIRIOS, 10, SP",23.343768308818554
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2917601,MapBox,2917601,-23.610426,-46.64296,0.86037,"SAO PAULO, DOS LIRIOS, 10, SP",20.21727555749709
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2917601,Here,2917601,-23.61048,-46.64295,1.0,"SAO PAULO, DOS LIRIOS, 10, SP",20.21534586877319
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2917601,Google,2917601,-23.5557714,-46.6395571,,"SAO PAULO, DOS LIRIOS, 10, SP",21.664662930556084
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2917602,Here,2917602,-23.47564,-46.42769,1.0,"SAO PAULO, ANTONIO XAVIER, 81, SP",0.004592250214260477
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2917602,MapBox,2917602,-23.475535,-46.427739,0.86037,"SAO PAULO, ANTONIO XAVIER, 81, SP",0.013398599672472164
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2917602,Google,2917602,-23.4755153,-46.4277542,,"SAO PAULO, ANTONIO XAVIER, 81, SP",0.01605541368019346
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2917602,OpenRouteService,2917602,-23.570533,-46.663713,1.0,"SAO PAULO, ANTONIO XAVIER, 81, SP",26.299559652913228
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2917603,Here,2917603,-23.47932,-46.65392,1.0,"SAO PAULO, RUA RIBEIRO JUNQUEIRA, 259, SP",0.06868395594930907
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2917603,OpenRouteService,2917603,-23.73912,-46.607357,1.0,"SAO PAULO, RUA RIBEIRO JUNQUEIRA, 259, SP",29.135603173543945
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2917603,Google,2917603,-23.4791841,-46.654052,,"SAO PAULO, RUA RIBEIRO JUNQUEIRA, 259, SP",0.08623331605181513
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2917603,MapBox,2917603,-23.478828,-46.654074,0.865661,"SAO PAULO, RUA RIBEIRO JUNQUEIRA, 259, SP",0.10907511745417686
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,2917604,Here,2917604,-23.69307,-46.79562,1.0,"SAO PAULO, PEROBEIRAS, 738, SP",0.021528500547253478
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,2917604,MapBox,2917604,-23.566603,-46.301805,0.808519,"SAO PAULO, PEROBEIRAS, 738, SP",52.29316480765972
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,2917604,Google,2917604,-23.693093,-46.7955523,,"SAO PAULO, PEROBEIRAS, 738, SP",0.016238672442098527
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,2917604,OpenRouteService,2917604,-20.88587,-47.597952,1.0,"SAO PAULO, PEROBEIRAS, 738, SP",321.6787248962095
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2917605,Google,2917605,-23.4844128,-46.49832050000001,,"SAO PAULO, BATUIRA DO CAMPO, 49, SP",0.7677990870957613
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2917605,MapBox,2917605,-23.484366,-46.498309,0.865661,"SAO PAULO, BATUIRA DO CAMPO, 49, SP",0.762845933470435
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2917605,OpenRouteService,2917605,-23.420332,-51.438213,1.0,"SAO PAULO, BATUIRA DO CAMPO, 49, SP",505.2031637446521
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2917605,Here,2917605,-23.63813,-46.73741,0.73,"SAO PAULO, BATUIRA DO CAMPO, 49, SP",30.477546180686673
     11555,ARICANDUVA,SAO PAULO,-23.595493,-46.465307,2917606,Here,2917606,-23.58455,-46.48862,1.0,"SAO PAULO, ARICANDUVA,      11555, SP",2.670452905108783
     11555,ARICANDUVA,SAO PAULO,-23.595493,-46.465307,2917606,Google,2917606,-23.5795193,-46.5110261,,"SAO PAULO, ARICANDUVA,      11555, SP",4.990787010387119
     11555,ARICANDUVA,SAO PAULO,-23.595493,-46.465307,2917606,OpenRouteService,2917606,-23.570533,-46.663713,1.0,"SAO PAULO, ARICANDUVA,      11555, SP",20.440466524348924
     11555,ARICANDUVA,SAO PAULO,-23.595493,-46.465307,2917606,MapBox,2917606,-23.584562,-46.488611,0.862963,"SAO PAULO, ARICANDUVA,      11555, SP",2.669031163960567
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2917607,OpenRouteService,2917607,-23.420332,-51.438213,1.0,"SAO PAULO, BATUIRA DO CAMPO, 49, SP",505.2031637446521
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2917607,Google,2917607,-23.4844128,-46.49832050000001,,"SAO PAULO, BATUIRA DO CAMPO, 49, SP",0.7677990870957613
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2917607,MapBox,2917607,-23.484366,-46.498309,0.865661,"SAO PAULO, BATUIRA DO CAMPO, 49, SP",0.762845933470435
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2917607,Here,2917607,-23.63813,-46.73741,0.73,"SAO PAULO, BATUIRA DO CAMPO, 49, SP",30.477546180686673
333,RUA ENGENHEIRO HUGO TAKAHASHI,SAO PAULO,-23.602643,-46.786232,2917608,MapBox,2917608,-23.602231,-46.783634,0.86963,"SAO PAULO, RUA ENGENHEIRO HUGO TAKAHASHI, 333, SP",0.2690543821661856
333,RUA ENGENHEIRO HUGO TAKAHASHI,SAO PAULO,-23.602643,-46.786232,2917608,Here,2917608,-23.60211,-46.78378,0.95,"SAO PAULO, RUA ENGENHEIRO HUGO TAKAHASHI, 333, SP",0.2571239049561038
333,RUA ENGENHEIRO HUGO TAKAHASHI,SAO PAULO,-23.602643,-46.786232,2917608,OpenRouteService,2917608,-23.601774,-46.784011,1.0,"SAO PAULO, RUA ENGENHEIRO HUGO TAKAHASHI, 333, SP",0.2462654585274025
333,RUA ENGENHEIRO HUGO TAKAHASHI,SAO PAULO,-23.602643,-46.786232,2917608,Google,2917608,-23.602055,-46.7838672,,"SAO PAULO, RUA ENGENHEIRO HUGO TAKAHASHI, 333, SP",0.24998748705239027
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2917609,MapBox,2917609,-23.610855,-46.455773,0.78037,"SAO PAULO, AMIZADE,          2, SP",28.729909090169183
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2917609,OpenRouteService,2917609,-23.570533,-46.663713,1.0,"SAO PAULO, AMIZADE,          2, SP",26.256276143702234
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2917609,Here,2917609,-23.46652,-46.58925,1.0,"SAO PAULO, AMIZADE,          2, SP",38.03202962382091
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2917609,Google,2917609,-23.5557714,-46.6395571,,"SAO PAULO, AMIZADE,          2, SP",27.78513948876455
SN,ESTRADA DO CURUCUTU,SAO PAULO,-23.87646,-46.633957,2917610,Here,2917610,-23.88093,-46.62635,1.0,"SAO PAULO, ESTRADA DO CURUCUTU, SN, SP",0.9194250869384913
SN,ESTRADA DO CURUCUTU,SAO PAULO,-23.87646,-46.633957,2917610,Google,2917610,-23.8747448,-46.631251,,"SAO PAULO, ESTRADA DO CURUCUTU, SN, SP",0.3347329174688985
SN,ESTRADA DO CURUCUTU,SAO PAULO,-23.87646,-46.633957,2917610,MapBox,2917610,-23.8924383,-46.6174,0.686429,"SAO PAULO, ESTRADA DO CURUCUTU, SN, SP",2.444407977035522
SN,ESTRADA DO CURUCUTU,SAO PAULO,-23.87646,-46.633957,2917610,OpenRouteService,2917610,-23.586137,-46.723912,1.0,"SAO PAULO, ESTRADA DO CURUCUTU, SN, SP",33.43709442979589
34,RUA TIRANA,SAO PAULO,-23.565428,-46.547746,2917611,MapBox,2917611,-23.566052,-46.545168,0.86037,"SAO PAULO, RUA TIRANA, 34, SP",0.27211105277558173
34,RUA TIRANA,SAO PAULO,-23.565428,-46.547746,2917611,Here,2917611,-23.56561,-46.54644,1.0,"SAO PAULO, RUA TIRANA, 34, SP",0.13484520169095265
34,RUA TIRANA,SAO PAULO,-23.565428,-46.547746,2917611,OpenRouteService,2917611,-23.586137,-46.723912,1.0,"SAO PAULO, RUA TIRANA, 34, SP",18.129138394490035
34,RUA TIRANA,SAO PAULO,-23.565428,-46.547746,2917611,Google,2917611,-23.5655807,-46.54643220000001,,"SAO PAULO, RUA TIRANA, 34, SP",0.13518846283989777
1501,AVENIDA DAS NACOES UNIDAS,SAO PAULO,-23.537799,-46.741184,2917612,Google,2917612,-23.5321979,-46.7477254,,"SAO PAULO, AVENIDA DAS NACOES UNIDAS, 1501, SP",0.9115877667479843
1501,AVENIDA DAS NACOES UNIDAS,SAO PAULO,-23.537799,-46.741184,2917612,OpenRouteService,2917612,-23.627025,-46.503727,1.0,"SAO PAULO, AVENIDA DAS NACOES UNIDAS, 1501, SP",26.1759826649651
1501,AVENIDA DAS NACOES UNIDAS,SAO PAULO,-23.537799,-46.741184,2917612,Here,2917612,-23.53238,-46.74735,1.0,"SAO PAULO, AVENIDA DAS NACOES UNIDAS, 1501, SP",0.8698477689370626
1501,AVENIDA DAS NACOES UNIDAS,SAO PAULO,-23.537799,-46.741184,2917612,MapBox,2917612,-23.552921,-46.7204,0.86963,"SAO PAULO, AVENIDA DAS NACOES UNIDAS, 1501, SP",2.703428563809145
313,JAPICHAUA,SAO PAULO,-23.481621,-46.470061,2917613,Google,2917613,-23.4847989,-46.4646045,,"SAO PAULO, JAPICHAUA, 313, SP",0.6592196955081157
313,JAPICHAUA,SAO PAULO,-23.481621,-46.470061,2917613,MapBox,2917613,-23.514499,-46.335404,0.808519,"SAO PAULO, JAPICHAUA, 313, SP",14.228037251198876
313,JAPICHAUA,SAO PAULO,-23.481621,-46.470061,2917613,OpenRouteService,2917613,-23.570533,-46.663713,1.0,"SAO PAULO, JAPICHAUA, 313, SP",22.091918674927793
313,JAPICHAUA,SAO PAULO,-23.481621,-46.470061,2917613,Here,2917613,-23.60723,-46.60789,0.86,"SAO PAULO, JAPICHAUA, 313, SP",19.788485712881805
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2917614,MapBox,2917614,-23.610855,-46.455773,0.78037,"SAO PAULO, AMIZADE,          2, SP",28.729909090169183
