number,street,city,latGold,lonGold,id,geoapi_id,request_id,lat,long,accuracy,endereço
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2927600,MapBox,2927600,-23.870596,-46.676843,0.99,"SP, SAO PAULO, JANE VANINE CAPOZI,         45"
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2927600,Here,2927600,-23.87114,-46.67653,1.0,"SP, SAO PAULO, JANE VANINE CAPOZI,         45"
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2927600,Google,2927600,-23.8708601,-46.6766266,,"SP, SAO PAULO, JANE VANINE CAPOZI,         45"
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2927600,OpenRouteService,2927600,-23.522392,-46.593147,1.0,"SP, SAO PAULO, JANE VANINE CAPOZI,         45"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2927601,Google,2927601,-23.5557714,-46.6395571,,"SP, SAO PAULO, DOS LIRIOS, 10"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2927601,Here,2927601,-23.61048,-46.64295,1.0,"SP, SAO PAULO, DOS LIRIOS, 10"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2927601,OpenRouteService,2927601,-23.522392,-46.593147,1.0,"SP, SAO PAULO, DOS LIRIOS, 10"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2927601,MapBox,2927601,-23.610426,-46.64296,0.99,"SP, SAO PAULO, DOS LIRIOS, 10"
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2927602,MapBox,2927602,-23.475535,-46.427739,0.99,"SP, SAO PAULO, ANTONIO XAVIER, 81"
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2927602,OpenRouteService,2927602,-23.522392,-46.593147,1.0,"SP, SAO PAULO, ANTONIO XAVIER, 81"
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2927602,Here,2927602,-23.47564,-46.42769,1.0,"SP, SAO PAULO, ANTONIO XAVIER, 81"
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2927602,Google,2927602,-23.4755153,-46.4277542,,"SP, SAO PAULO, ANTONIO XAVIER, 81"
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2927603,OpenRouteService,2927603,-21.530601,-42.638138,0.8,"SP, SAO PAULO, RUA RIBEIRO JUNQUEIRA, 259"
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2927603,Google,2927603,-23.4791841,-46.654052,,"SP, SAO PAULO, RUA RIBEIRO JUNQUEIRA, 259"
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2927603,MapBox,2927603,-23.478828,-46.654074,0.99,"SP, SAO PAULO, RUA RIBEIRO JUNQUEIRA, 259"
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2927603,Here,2927603,-23.47932,-46.65392,1.0,"SP, SAO PAULO, RUA RIBEIRO JUNQUEIRA, 259"
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,2927604,OpenRouteService,2927604,-23.522392,-46.593147,1.0,"SP, SAO PAULO, PEROBEIRAS, 738"
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,2927604,MapBox,2927604,-23.6893253,-46.7977345,0.707556,"SP, SAO PAULO, PEROBEIRAS, 738"
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,2927604,Google,2927604,-23.693093,-46.7955523,,"SP, SAO PAULO, PEROBEIRAS, 738"
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,2927604,Here,2927604,-23.69307,-46.79562,1.0,"SP, SAO PAULO, PEROBEIRAS, 738"
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2927605,OpenRouteService,2927605,-23.420332,-51.438213,1.0,"SP, SAO PAULO, BATUIRA DO CAMPO, 49"
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2927605,Google,2927605,-23.4844128,-46.49832050000001,,"SP, SAO PAULO, BATUIRA DO CAMPO, 49"
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2927605,MapBox,2927605,-23.484366,-46.498309,0.99,"SP, SAO PAULO, BATUIRA DO CAMPO, 49"
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2927605,Here,2927605,-23.63813,-46.73741,0.73,"SP, SAO PAULO, BATUIRA DO CAMPO, 49"
     11555,ARICANDUVA,SAO PAULO,-23.595493,-46.465307,2927606,Here,2927606,-23.58455,-46.48862,1.0,"SP, SAO PAULO, ARICANDUVA,      11555"
     11555,ARICANDUVA,SAO PAULO,-23.595493,-46.465307,2927606,OpenRouteService,2927606,-23.522392,-46.593147,1.0,"SP, SAO PAULO, ARICANDUVA,      11555"
