,geoapi_id,request_id,lat,long,accuracy,number,district,public_place
0,Google,9997,-23.9861373,-47.1443141,,285,BARNABES,RUA ANTONIO FRANCISCO PEREIRA
1,TomTom,9997,-23.98579,-47.14441,14.0621442795,285,BARNABES,RUA ANTONIO FRANCISCO PEREIRA
2,MapBox,9997,-22.55577,-47.40166,0.638148,285,BARNABES,RUA ANTONIO FRANCISCO PEREIRA
3,OpenRouteService,9997,-23.938906,-47.024205,0.6,285,BARNABES,RUA ANTONIO FRANCISCO PEREIRA
4,TomTom,9998,-23.17424,-46.57032,8.5438871384,09,JUQUITIBA,ESTRADA DAS PEREIRAS
5,MapBox,9998,-23.164259,-46.569506,0.66785,09,JUQUITIBA,ESTRADA DAS PEREIRAS
6,OpenRouteService,9998,-23.938906,-47.024205,0.6,09,JUQUITIBA,ESTRADA DAS PEREIRAS
7,Google,9998,-23.8366932,-47.0400833,,09,JUQUITIBA,ESTRADA DAS PEREIRAS
8,Google,9999,-23.9856654,-47.1455556,,31,BARNABES,RUA ANTONIO SOARES GODINHO
9,OpenRouteService,9999,-23.938906,-47.024205,0.6,31,BARNABES,RUA ANTONIO SOARES GODINHO
10,TomTom,9999,-23.98409,-47.14616,13.7029790878,31,BARNABES,RUA ANTONIO SOARES GODINHO
11,MapBox,9999,-23.934964,-47.066683,0.74,31,BARNABES,RUA ANTONIO SOARES GODINHO
12,Google,10000,-23.9856654,-47.1455556,,35,BARNABES,RUA ANTONIO SOARES GODINHO
13,MapBox,10000,-23.934966,-47.066685,0.74,35,BARNABES,RUA ANTONIO SOARES GODINHO
14,TomTom,10000,-23.9841,-47.14615,13.7029790878,35,BARNABES,RUA ANTONIO SOARES GODINHO
15,OpenRouteService,10000,-23.938906,-47.024205,0.6,35,BARNABES,RUA ANTONIO SOARES GODINHO
16,MapBox,10001,-23.935197,-47.066928,0.74,413,BARNABES,RUA ANTONIO SOARES GODINHO
17,TomTom,10001,-23.9851,-47.14578,12.1519870758,413,BARNABES,RUA ANTONIO SOARES GODINHO
18,OpenRouteService,10001,-23.938906,-47.024205,0.6,413,BARNABES,RUA ANTONIO SOARES GODINHO
19,Google,10001,-23.9856654,-47.1455556,,413,BARNABES,RUA ANTONIO SOARES GODINHO
20,OpenRouteService,10002,-23.938906,-47.024205,0.6,20,BARNABES,RUA DOS LAGOS
21,MapBox,10002,-23.403467,-46.278618,0.677831,20,BARNABES,RUA DOS LAGOS
