,number,CEP,street,bairro,city,state
0,138,31370710.0,RUA TRES,Bairro do Trevo,BELO HORIZONTE,MG
1,1156,30855500.0,RODOVIA PRESIDENTE JUSCELINO KUBITSCHEK,Bairro do Pilar,BELO HORIZONTE,MG
2,759,30350532.0,RUA ABEL ARAUJO,Bairro Santa Lúcia,BELO HORIZONTE,MG
3,178,31710140.0,RUA CARMO DO PARANAIBA,Bairro Itapoã,BELO HORIZONTE,MG
4,138,31920740.0,AVENIDA NOSSA SENHORA DA SAUDE,Bairro Pirajá,BELO HORIZONTE,MG
5,3107,31050010.0,RUA ANTONIO RODRIGUES DA COSTA,Bairro Mariano de Abreu,BELO HORIZONTE,MG
6,326,31365570.0,RUA XANGRILA,Bairro Braúnas,BELO HORIZONTE,MG
7,41,31578640.0,RUA MARLENE MENDES PEREIRA,Bairro Céu Azul,BELO HORIZONTE,MG
8,26,30210080.0,PRACA ENGENHEIRO FLAVIO GUTIERREZ,Bairro das Mangabeiras,BELO HORIZONTE,MG
9,181,30240370.0,RUA MAJOR BARBOSA,Seção Suburbana Oitava,BELO HORIZONTE,MG
10,1583,30520065.0,RUA ALUZITA,Bairro Camargos,BELO HORIZONTE,MG
11,105,,RUA DARTANHAN,Bairro Cidade Jardim Taquaril,BELO HORIZONTE,MG
12,430,30315382.0,AVENIDA DOS BANDEIRANTES,Bairro Sion,BELO HORIZONTE,MG
13,35,31630365.0,RUA MAR JONICO,Bairro Serra Verde,BELO HORIZONTE,MG
14,14,31525260.0,RUA NEWTON PINTO DE SOUZA,Bairro Santa Mônica,BELO HORIZONTE,MG
15,186,30666500.0,RUA DAS AGUAS,Bairro Independência,BELO HORIZONTE,MG
16,289,31050010.0,RUA ANTONIO RODRIGUES DA COSTA,Bairro Mariano de Abreu,BELO HORIZONTE,MG
17,11,30521030.0,RUA SILVIO DE OLIVEIRA PACHECO,Bairro Camargos,BELO HORIZONTE,MG
18,580,30210090.0,AVENIDA JOSE DE PATROCINIO PONTES,Bairro das Mangabeiras,BELO HORIZONTE,MG
19,1156,30855500.0,RODOVIA PRESIDENTE JUSCELINO KUBITSCHEK,Bairro do Pilar,BELO HORIZONTE,MG
20,258,31655520.0,RUA CANDIDA MARIA DA SILVA,Bairro Mantiqueira,BELO HORIZONTE,MG
21,225,30421662.0,RUA DO CAMPO,Vila São Domingos,BELO HORIZONTE,MG
22,40,31873642.0,RUA PEQUIZEIRO,Bairro Monte Azul,BELO HORIZONTE,MG
23,2287,,ESTRADA DAS ANTENAS,Bairro da Baleia,BELO HORIZONTE,MG
24,336,31365700.0,RUA FREI ZACARIAS,Bairro Xangri-lá,BELO HORIZONTE,MG
25,580,30210090.0,AVENIDA JOSE DE PATROCINIO PONTES,Bairro das Mangabeiras,BELO HORIZONTE,MG
26,179,31873416.0,BECO FLOR DE SEDA,Bairro Monte Azul,BELO HORIZONTE,MG
27,35,31360630.0,RUA DEZ,Bairro Confisco,BELO HORIZONTE,MG
28,222,30285140.0,RUA DOUTOR BROCHADO,Bairro Vera Cruz,BELO HORIZONTE,MG
29,1746,30180003.0,AVENIDA AMAZONAS,Seção Urbana Oitava,BELO HORIZONTE,MG
30,2350,31615310.0,RUA PADRE PEDRO PINTO,Bairro Candelária,BELO HORIZONTE,MG
31,11178,31998250.0,RUA PADRE ARGEMIRO MOREIRA,Bairro Capitão Eduardo,BELO HORIZONTE,MG
32,217,30672722.0,AVENIDA RAIMUNDO PEDRO RODRIGUES,Bairro Independência,BELO HORIZONTE,MG
33,1464,30285390.0,RUA BENJAMIM GUIMARAES,Bairro da Baleia,BELO HORIZONTE,MG
34,20,30320760.0,RODOVIA STAEL MARY BICALHO MOTTA MAGALHAES,Bairro Belvedere,BELO HORIZONTE,MG
35,7655,30535550.0,AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK,Bairro Califórnia,BELO HORIZONTE,MG
36,100,31680190.0,RUA VENDA NOVA,Bairro Paraúna,BELO HORIZONTE,MG
37,22,31742610.0,RUA JOAQUIM GONCALVES DOS REIS,Bairro Jardim Felicidade,BELO HORIZONTE,MG
38,535,30421037.0,RUA OSWALDO CRUZ,Bairro Nova Suíça,BELO HORIZONTE,MG
39,1866,31975270.0,RUA DOS BORGES,Bairro Vitória,BELO HORIZONTE,MG
40,550,30210190.0,RUA PROFESSOR DJALMA GUIMARAES,Bairro das Mangabeiras,BELO HORIZONTE,MG
41,33,30170020.0,PRACA CARLOS CHAGAS,Seção Urbana Décima Segunda,BELO HORIZONTE,MG
42,180,31870710.0,RUA FLORIANOPOLIS,Bairro Antônio Ribeiro de Abreu,BELO HORIZONTE,MG
43,628,31873748.0,RUA RAIMUNDO CORREIA,Bairro Solimões,BELO HORIZONTE,MG
44,417,31741125.0,RUA SAO LUIZ,Vila São Tomaz,BELO HORIZONTE,MG
45,104,31578470.0,RUA RADIALISTA EMILIO CURTIS,Bairro Céu Azul,BELO HORIZONTE,MG
46,219,31650100.0,RUA CONSUELO,Bairro Nova York,BELO HORIZONTE,MG
47,26,30210080.0,PRACA ENGENHEIRO FLAVIO GUTIERREZ,Bairro das Mangabeiras,BELO HORIZONTE,MG
48,207,30730660.0,RUA ESTEVAO DE OLIVEIRA,Bairro Minas Gerais,BELO HORIZONTE,MG
