,Unnamed: 0,IDEND,ID_EDC,ID_LOGRADOURO,SIGLA_TIPO_LOGRADOURO,DESC_TIPO_LOGRADOURO,NOME_LOGRADOURO,NUMERO_IMOVEL,LETRA_IMOVEL,ID_BAIRRO_POPULAR,NUM_BAIRRO_POPULAR,NOME_BAIRRO_POPULAR,ID_BAIRRO_OFICIAL,NUM_BAIRRO_OFICIAL,TIPO_BAIRRO_OFICIAL,NOME_BAIRRO_OFICIAL,ID_REGIONAL,NOME_REGIONAL,CEP,GEOMETRIA,LONGITUDE,LATITUDE
0,751182,30319300138,834897,303193,RUA,RUA,TRES,138,,115,733,Nova Pampulha,16,983,Bairro,do Trevo,8,PAMPULHA,31370710.0,"(-19.8306889840148, -44.016638796227944)",-19.8306889840148,-44.01663879622794
1,373201,08009201156,372141,80092,ROD,RODOVIA,PRESIDENTE JUSCELINO KUBITSCHEK,1156,,484,1494,Serra do Curral,249,488,Bairro,do Pilar,1,BARREIRO,30855500.0,"(-20.00271013491341, -43.96577639353343)",-20.00271013491341,-43.96577639353343
2,386855,00060600759,417916,606,RUA,RUA,ABEL ARAUJO,759,,144,768,Santa Lúcia,259,121,Bairro,Santa Lúcia,2,CENTRO-SUL,30350532.0,"(-19.961795756075297, -43.95411701274673)",-19.961795756075297,-43.95411701274673
3,338072,01367400178,150435,13674,RUA,RUA,CARMO DO PARANAIBA,178,,83,699,Itapoã,27,315,Bairro,Itapoã,8,PAMPULHA,31710140.0,"(-19.834003926526275, -43.96377883968991)",-19.834003926526275,-43.96377883968991
4,149347,04838000138,158873,48380,AVE,AVENIDA,NOSSA SENHORA DA SAUDE,138,,147,771,Maria Goretti,278,761,Bairro,Pirajá,4,NORDESTE,31920740.0,"(-19.866098255986188, -43.91197898281116)",-19.866098255986188,-43.91197898281116
5,557627,07512703107,458101,75127,RUA,RUA,ANTONIO RODRIGUES DA COSTA,3107,,33,638,Casa Branca,307,448,Bairro,Mariano de Abreu,3,LESTE,31050010.0,"(-19.898012905859744, -43.8854854733593)",-19.898012905859744,-43.8854854733593
6,176789,07629000326,189684,76290,RUA,RUA,XANGRILA,326,,45,652,Braúnas,275,325,Bairro,Braúnas,8,PAMPULHA,31365570.0,"(-19.8489294223495, -44.01408169432143)",-19.8489294223495,-44.01408169432143
7,161890,12268800041,196695,122688,RUA,RUA,MARLENE MENDES PEREIRA,41,,38,643,Céu Azul,12,988,Bairro,Céu Azul,9,VENDA NOVA,31578640.0,"(-19.819765698302433, -44.00228503651579)",-19.819765698302437,-44.00228503651579
8,713847,00990300026,828777,9903,PCA,PRACA,ENGENHEIRO FLAVIO GUTIERREZ,26,,101,718,Mangabeiras,312,109,Bairro,das Mangabeiras,2,CENTRO-SUL,30210080.0,"(-19.95967598408153, -43.9134227224481)",-19.95967598408153,-43.9134227224481
9,88348,04261800181,60481,42618,RUA,RUA,MAJOR BARBOSA,181,,141,765,Santa Efigênia,235,108,Seção Suburbana,Oitava,3,LESTE,30240370.0,"(-19.925001214181204, -43.917574053078255)",-19.925001214181204,-43.917574053078255
