,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,number,street,city,district,postcode,latGold,lonGold
0,212,212,212,        45,JANE VANINE CAPOZI,SAO PAULO,PARELHEIROS,,-23.868805,-46.678967
1,7364,7364,7364,10,DOS LIRIOS,SAO PAULO,SAO RAFAEL,,-23.638449,-46.447187
2,10718,10718,10718,81,ANTONIO XAVIER,SAO PAULO,JARDIM HELENA,,-23.475623,-46.427649
3,8118,8118,8118,259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,CACHOEIRINHA,,-23.479475,-46.653269
4,474,474,474,738,PEROBEIRAS,SAO PAULO,CAPAO REDONDO,,-23.693233,-46.795505
5,9962,9962,9962,49,BATUIRA DO CAMPO,SAO PAULO,ERMELINO MATARAZZO,,-23.478662,-46.494123
6,7133,7133,7133,     11555,ARICANDUVA,SAO PAULO,ARICANDUVA,,-23.595493,-46.465307
7,9962,9962,9962,49,BATUIRA DO CAMPO,SAO PAULO,ERMELINO MATARAZZO,,-23.478662,-46.494123
8,1588,1588,1588,333,RUA ENGENHEIRO HUGO TAKAHASHI,SAO PAULO,RAPOSO TAVARES,,-23.602643,-46.786232
9,5031,5031,5031,         2,AMIZADE,SAO PAULO,GRAJAU,,-23.806643,-46.640582
10,5030,5030,5030,SN,ESTRADA DO CURUCUTU,SAO PAULO,PARELHEIROS,,-23.87646,-46.633957
11,8606,8606,8606,34,RUA TIRANA,SAO PAULO,VILA FORMOSA,,-23.565428,-46.547746
12,3557,3557,3557,1501,AVENIDA DAS NACOES UNIDAS,SAO PAULO,VILA LEOPOLDINA,,-23.537799,-46.741184
13,9997,9997,9997,313,JAPICHAUA,SAO PAULO,VILA JACUI,,-23.481621,-46.470061
14,5031,5031,5031,         2,AMIZADE,SAO PAULO,GRAJAU,,-23.806643,-46.640582
15,721,721,721,266,RUA BENJAMIM DIEMAR,SAO PAULO,PARELHEIROS,,-23.839513,-46.736228
16,9962,9962,9962,49,BATUIRA DO CAMPO,SAO PAULO,ERMELINO MATARAZZO,,-23.478662,-46.494123
17,1946,1946,1946,238,FRANCISCO MENDES,SAO PAULO,SOCORRO,,-23.67025,-46.709448
18,4381,4381,4381,80,RUA MENDONCA JUNIOR,SAO PAULO,CACHOEIRINHA,,-23.480931,-46.661762
