number,street,city,latGold,lonGold,id,geoapi_id,request_id,lat,long,accuracy,endereço
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2932600,MapBox,2932600,-23.870596,-46.676843,0.875661,"SP, JANE VANINE CAPOZI,         45, SAO PAULO"
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2932600,OpenRouteService,2932600,-23.570533,-46.663713,0.6,"SP, JANE VANINE CAPOZI,         45, SAO PAULO"
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2932600,Here,2932600,-23.87114,-46.67653,1.0,"SP, JANE VANINE CAPOZI,         45, SAO PAULO"
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2932600,Google,2932600,-23.8708601,-46.6766266,,"SP, JANE VANINE CAPOZI,         45, SAO PAULO"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2932601,OpenRouteService,2932601,-23.570533,-46.663713,0.6,"SP, DOS LIRIOS, 10, SAO PAULO"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2932601,MapBox,2932601,-23.610426,-46.64296,0.87037,"SP, DOS LIRIOS, 10, SAO PAULO"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2932601,Here,2932601,-23.61048,-46.64295,1.0,"SP, DOS LIRIOS, 10, SAO PAULO"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2932601,Google,2932601,-23.5557714,-46.6395571,,"SP, DOS LIRIOS, 10, SAO PAULO"
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2932602,Google,2932602,-23.4755153,-46.4277542,,"SP, ANTONIO XAVIER, 81, SAO PAULO"
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2932602,Here,2932602,-23.47564,-46.42769,1.0,"SP, ANTONIO XAVIER, 81, SAO PAULO"
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2932602,OpenRouteService,2932602,-23.570533,-46.663713,0.6,"SP, ANTONIO XAVIER, 81, SAO PAULO"
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2932602,MapBox,2932602,-23.475535,-46.427739,0.87037,"SP, ANTONIO XAVIER, 81, SAO PAULO"
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2932603,Google,2932603,-23.4791841,-46.654052,,"SP, RUA RIBEIRO JUNQUEIRA, 259, SAO PAULO"
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2932603,MapBox,2932603,-23.478828,-46.654074,0.875661,"SP, RUA RIBEIRO JUNQUEIRA, 259, SAO PAULO"
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2932603,Here,2932603,-23.47932,-46.65392,1.0,"SP, RUA RIBEIRO JUNQUEIRA, 259, SAO PAULO"
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2932603,OpenRouteService,2932603,-23.667305,-46.779298,1.0,"SP, RUA RIBEIRO JUNQUEIRA, 259, SAO PAULO"
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,2932604,MapBox,2932604,-23.444395,-46.439449,0.715926,"SP, PEROBEIRAS, 738, SAO PAULO"
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,2932604,Here,2932604,-23.69307,-46.79562,1.0,"SP, PEROBEIRAS, 738, SAO PAULO"
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,2932604,Google,2932604,-23.693093,-46.7955523,,"SP, PEROBEIRAS, 738, SAO PAULO"
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,2932604,OpenRouteService,2932604,-23.570533,-46.663713,0.6,"SP, PEROBEIRAS, 738, SAO PAULO"
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2932605,Here,2932605,-23.63813,-46.73741,0.73,"SP, BATUIRA DO CAMPO, 49, SAO PAULO"
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2932605,Google,2932605,-23.4844128,-46.49832050000001,,"SP, BATUIRA DO CAMPO, 49, SAO PAULO"
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2932605,MapBox,2932605,-23.484366,-46.498309,0.875661,"SP, BATUIRA DO CAMPO, 49, SAO PAULO"
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2932605,OpenRouteService,2932605,-23.570533,-46.663713,0.6,"SP, BATUIRA DO CAMPO, 49, SAO PAULO"
     11555,ARICANDUVA,SAO PAULO,-23.595493,-46.465307,2932606,Here,2932606,-23.58455,-46.48862,1.0,"SP, ARICANDUVA,      11555, SAO PAULO"
     11555,ARICANDUVA,SAO PAULO,-23.595493,-46.465307,2932606,Google,2932606,-23.5795193,-46.5110261,,"SP, ARICANDUVA,      11555, SAO PAULO"
     11555,ARICANDUVA,SAO PAULO,-23.595493,-46.465307,2932606,OpenRouteService,2932606,-23.570533,-46.663713,0.6,"SP, ARICANDUVA,      11555, SAO PAULO"
     11555,ARICANDUVA,SAO PAULO,-23.595493,-46.465307,2932606,MapBox,2932606,-23.584562,-46.488611,0.79037,"SP, ARICANDUVA,      11555, SAO PAULO"
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2932607,Google,2932607,-23.4844128,-46.49832050000001,,"SP, BATUIRA DO CAMPO, 49, SAO PAULO"
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2932607,MapBox,2932607,-23.484366,-46.498309,0.875661,"SP, BATUIRA DO CAMPO, 49, SAO PAULO"
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2932607,Here,2932607,-23.63813,-46.73741,0.73,"SP, BATUIRA DO CAMPO, 49, SAO PAULO"
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2932607,OpenRouteService,2932607,-23.570533,-46.663713,0.6,"SP, BATUIRA DO CAMPO, 49, SAO PAULO"
333,RUA ENGENHEIRO HUGO TAKAHASHI,SAO PAULO,-23.602643,-46.786232,2932608,OpenRouteService,2932608,-23.667305,-46.779298,1.0,"SP, RUA ENGENHEIRO HUGO TAKAHASHI, 333, SAO PAULO"
333,RUA ENGENHEIRO HUGO TAKAHASHI,SAO PAULO,-23.602643,-46.786232,2932608,Google,2932608,-23.602055,-46.7838672,,"SP, RUA ENGENHEIRO HUGO TAKAHASHI, 333, SAO PAULO"
333,RUA ENGENHEIRO HUGO TAKAHASHI,SAO PAULO,-23.602643,-46.786232,2932608,Here,2932608,-23.60211,-46.78378,0.95,"SP, RUA ENGENHEIRO HUGO TAKAHASHI, 333, SAO PAULO"
333,RUA ENGENHEIRO HUGO TAKAHASHI,SAO PAULO,-23.602643,-46.786232,2932608,MapBox,2932608,-23.602231,-46.783634,0.87963,"SP, RUA ENGENHEIRO HUGO TAKAHASHI, 333, SAO PAULO"
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2932609,MapBox,2932609,-23.610855,-46.455773,0.79037,"SP, AMIZADE,          2, SAO PAULO"
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2932609,Google,2932609,-23.5557714,-46.6395571,,"SP, AMIZADE,          2, SAO PAULO"
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2932609,OpenRouteService,2932609,-23.570533,-46.663713,0.6,"SP, AMIZADE,          2, SAO PAULO"
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2932609,Here,2932609,-23.46652,-46.58925,1.0,"SP, AMIZADE,          2, SAO PAULO"
SN,ESTRADA DO CURUCUTU,SAO PAULO,-23.87646,-46.633957,2932610,Here,2932610,-23.88093,-46.62635,1.0,"SP, ESTRADA DO CURUCUTU, SN, SAO PAULO"
SN,ESTRADA DO CURUCUTU,SAO PAULO,-23.87646,-46.633957,2932610,MapBox,2932610,-23.8924383,-46.6174,0.696429,"SP, ESTRADA DO CURUCUTU, SN, SAO PAULO"
SN,ESTRADA DO CURUCUTU,SAO PAULO,-23.87646,-46.633957,2932610,OpenRouteService,2932610,-23.570533,-46.663713,0.6,"SP, ESTRADA DO CURUCUTU, SN, SAO PAULO"
SN,ESTRADA DO CURUCUTU,SAO PAULO,-23.87646,-46.633957,2932610,Google,2932610,-23.8747448,-46.631251,,"SP, ESTRADA DO CURUCUTU, SN, SAO PAULO"
34,RUA TIRANA,SAO PAULO,-23.565428,-46.547746,2932611,MapBox,2932611,-23.566052,-46.545168,0.87037,"SP, RUA TIRANA, 34, SAO PAULO"
34,RUA TIRANA,SAO PAULO,-23.565428,-46.547746,2932611,OpenRouteService,2932611,-23.667305,-46.779298,1.0,"SP, RUA TIRANA, 34, SAO PAULO"
34,RUA TIRANA,SAO PAULO,-23.565428,-46.547746,2932611,Google,2932611,-23.5655807,-46.54643220000001,,"SP, RUA TIRANA, 34, SAO PAULO"
34,RUA TIRANA,SAO PAULO,-23.565428,-46.547746,2932611,Here,2932611,-23.56561,-46.54644,1.0,"SP, RUA TIRANA, 34, SAO PAULO"
