number,street,city,latGold,lonGold,id,geoapi_id,request_id,lat,long,accuracy,endereço,erro
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2927600,MapBox,2927600,-23.870596,-46.676843,0.99,"SP, SAO PAULO, JANE VANINE CAPOZI,         45",0.29351416909436084
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2927600,Here,2927600,-23.87114,-46.67653,1.0,"SP, SAO PAULO, JANE VANINE CAPOZI,         45",0.35846093187597816
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2927600,Google,2927600,-23.8708601,-46.6766266,,"SP, SAO PAULO, JANE VANINE CAPOZI,         45",0.32959549541628413
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2927600,OpenRouteService,2927600,-23.522392,-46.593147,1.0,"SP, SAO PAULO, JANE VANINE CAPOZI,         45",39.35230879748328
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2927601,Google,2927601,-23.5557714,-46.6395571,,"SP, SAO PAULO, DOS LIRIOS, 10",21.664662930556084
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2927601,Here,2927601,-23.61048,-46.64295,1.0,"SP, SAO PAULO, DOS LIRIOS, 10",20.21534586877319
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2927601,OpenRouteService,2927601,-23.522392,-46.593147,1.0,"SP, SAO PAULO, DOS LIRIOS, 10",19.677588489617445
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2927601,MapBox,2927601,-23.610426,-46.64296,0.99,"SP, SAO PAULO, DOS LIRIOS, 10",20.21727555749709
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2927602,MapBox,2927602,-23.475535,-46.427739,0.99,"SP, SAO PAULO, ANTONIO XAVIER, 81",0.013398599672472164
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2927602,OpenRouteService,2927602,-23.522392,-46.593147,1.0,"SP, SAO PAULO, ANTONIO XAVIER, 81",17.68003180192102
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2927602,Here,2927602,-23.47564,-46.42769,1.0,"SP, SAO PAULO, ANTONIO XAVIER, 81",0.004592250214260477
